x1,x2,xavg,estim,subj
20,0,10,4.86189999999999,1
-10,-20,-15,-7.85935,1
0,-10,-5,-9.8528,1
0,-20,-10,-10.9831,1
20,20,20,9.30765,1
20,0,10,3.15777,1
20,0,10,-22.35416,1
10,-20,-5,-7.67317,1
20,-10,5,-1.57265,1
10,10,10,-1.864537,1
0,0,0,-5.6589,1
-10,0,-5,-4.469317,1
-10,-20,-15,-13.53768,1
-10,-10,-10,-6.42129,1
10,-10,0,-6.42158,1
20,20,20,1.90161000000001,1
10,0,5,-6.54338,1
-10,0,-5,-8.8695,1
0,10,5,-8.2239,1
-20,10,-5,3.04149,1
10,20,15,9.37395,1
10,10,10,6.78142,1
0,10,5,-4.54189,1
-10,-20,-15,-13.21278,1
0,10,5,9.64060000000001,1
-20,0,-10,-18.31989,1
0,-10,-5,3.865441,1
0,20,10,-9.22622,1
0,20,10,5.916526,1
20,20,20,4.9808,1
10,20,15,5.35698,1
-10,20,5,7.0044,1
20,0,10,-1.643,1
10,20,15,9.42560000000003,1
20,10,15,0.0785900000000002,1
0,20,10,12.62051,1
0,-20,-10,-9.2657,1
-20,10,-5,-11.275,1
-10,-10,-10,-10.069075,1
0,-20,-10,-12.6495,1
20,-10,5,2.48356,1
0,0,0,-10.86274,1
-10,0,-5,-6.26477,1
10,10,10,6.4712,1
-20,-10,-15,-9.1831,1
-20,-10,-15,-8.36449999999999,1
-10,10,0,0.170099999999998,1
-20,-10,-15,-7.3994,1
0,-10,-5,-4.87568,1
-20,0,-10,-8.3244,1
-10,20,5,-4.9276,1
0,10,5,3.44976,1
20,0,10,-8.25530000000001,1
-10,-10,-10,-5.69071,1
-20,0,-10,-6.1172,1
10,20,15,4.25618,1
10,-10,0,-8.57703,1
-20,10,-5,8.34960000000001,1
-20,-20,-20,-11.23202,1
0,-10,-5,-3.774,1
-20,-20,-20,-8.79611,1
-20,-20,-20,-8.05770000000001,1
10,0,5,-3.97947,1
0,10,5,4.58183,1
-10,-10,-10,5.48050000000001,1
-20,-20,-20,-53.20786,1
0,0,0,8.60033,1
-10,20,5,5.05560000000003,1
-10,10,0,5.40185,1
-20,-20,-20,4.78919999999999,1
20,20,20,5.6808,1
-10,20,5,5.04640000000001,1
-10,-20,-15,-9.13841,1
20,-10,5,-12.3499,1
-10,10,0,5.83053,1
10,-20,-5,4.77549999999999,1
-20,10,-5,-5.95296,1
20,-10,5,-9.2116,1
-10,0,-5,-7.74353000000001,1
0,-10,-5,-4.54676000000001,1
10,-20,-5,-3.65675,1
10,10,10,-4.81458,1
0,0,0,-8.8685,1
-10,20,5,10.31349,1
0,0,0,-5.0561,1
20,10,15,9.84251999999999,1
-20,0,-10,-10.0362,1
20,20,20,-8.61013,1
20,10,15,13.8012,1
-10,10,0,3.77420000000001,1
-20,-10,-15,-10.7751,1
10,-20,-5,-13.27938,1
20,10,15,-0.0156300000000016,1
10,-20,-5,-4.35544,1
10,0,5,5.18440000000001,1
10,10,10,-9.49194,1
10,-10,0,-5.64678,1
10,0,5,11.1899,1
-10,10,0,3.62205,1
-10,0,-5,4.47517,1
-20,10,-5,5.462322,1
10,0,5,-8.02869,1
-10,-10,-10,-6.44203,1
-10,-20,-15,4.67320000000001,1
0,20,10,8.16630000000001,1
10,-10,0,-7.52754,1
10,-10,0,-9.28527,1
0,-20,-10,-6.08137,1
-20,-10,-15,5.23480000000001,1
-20,-20,-20,-8.2099,1
20,-10,5,4.60749999999999,1
-10,0,-5,5.87432,1
-10,0,-5,-9.2355,1
0,-20,-10,-7.87482,1
-10,10,0,-3.31058,1
20,10,15,5.31944,1
10,10,10,-5.11603,1
10,20,15,-7.89060000000001,1
20,0,10,-15.118,1
-10,10,0,10.56044,1
-20,-10,-15,-9.13173999999999,1
10,-20,-5,-9.5873,1
0,10,5,5.1456,1
-20,0,-10,-3.68906,1
-10,-10,-10,-7.81319999999999,1
-10,0,-5,-8.05609,1
-10,10,0,3.916526,1
0,20,10,5.0626,1
0,20,10,9.22950000000003,1
20,0,10,-7.2157,1
20,-10,5,-17.41638,1
-20,10,-5,-5.39348,1
20,20,20,8.70798,1
10,-10,0,-6.038249,1
-10,-20,-15,-11.7184,1
-20,-20,-20,-6.54178,1
10,20,15,11.43424,1
10,20,15,4.7715,1
-10,10,0,7.3716,1
0,-20,-10,-6.7131,1
0,-20,-10,-8.9144,1
-20,-10,-15,7.20792,1
0,-20,-10,14.06739,1
-20,0,-10,6.89189999999999,1
20,20,20,12.5018,1
10,10,10,8.5044,1
-20,-10,-15,-5.06454,1
10,-10,0,-6.22945,1
-20,-10,-15,-5.510447,1
20,-10,5,3.47477,1
20,10,15,10.42803,1
-20,0,-10,4.19759999999997,1
-10,-10,-10,-9.0989,1
0,10,5,-9.05231000000001,1
-10,-20,-15,-14.19307,1
-20,0,-10,-5.32411,1
10,0,5,-14.8198,1
0,-10,-5,-4.01563,1
0,20,10,6.0284,1
10,0,5,-8.11985,1
10,-10,0,-9.55537,1
10,-10,0,6.48512,1
0,0,0,4.2525,1
10,-20,-5,-6.81836,1
-20,-20,-20,-6.7652,1
10,0,5,-12.17962,1
20,20,20,7.8296,1
-20,10,-5,-5.51685,1
20,10,15,-3.99583,1
-10,20,5,8.97620000000001,1
10,10,10,-8.43398999999999,1
0,0,0,3.07249,1
20,-10,5,-12.67273,1
10,-20,-5,11.21461,1
20,20,20,8.1139,1
-10,20,5,12.4556,1
0,0,0,-7.04049999999999,1
-20,-20,-20,-13.27329,1
-10,-20,-15,-20.5334,1
-10,-10,-10,-8.18732,1
10,0,5,7.6112,1
20,10,15,9.58009999999999,1
0,-10,-5,-6.02724,1
