x1,binchoice,x2,xavg,estim,subj
52.125,-1,55.25,53.6875,52,8
48.125,-1,57.125,52.625,56,8
55,1,41.25,48.125,59,8
48.375,1,45,46.6875,48,8
44.375,-1,50.125,47.25,51,8
48.25,-1,44.625,46.4375,44,8
47.25,1,59.875,53.5625,50,8
47.25,-1,46.375,46.8125,47,8
46.625,-1,45.25,45.9375,36,8
47.875,-1,47.625,47.75,45,8
46.625,1,44.125,45.375,43,8
53.875,1,50.625,52.25,40,8
54,-1,60.75,57.375,34,8
45.5,1,58.25,51.875,36,8
53.875,1,59.625,56.75,56,8
51.75,1,48.25,50,47,8
48.25,-1,60.5,54.375,32,8
50.375,1,48,49.1875,45,8
44.875,1,54,49.4375,55,8
52.125,-1,54,53.0625,47,8
54.375,1,52,53.1875,44,8
48.125,-1,57.25,52.6875,46,8
55,-1,61.125,58.0625,50,8
46.625,-1,61.625,54.125,55,8
46.125,-1,46.25,46.1875,48,8
45.875,-1,46,45.9375,43,8
44.875,1,60.875,52.875,48,8
54.375,1,52.5,53.4375,53,8
51.125,1,45.625,48.375,46,8
44.25,-1,45.875,45.0625,47,8
50.5,1,62.25,56.375,38,8
51.75,-1,60.5,56.125,45,8
55.25,1,55.375,55.3125,40,8
48.75,-1,44.375,46.5625,50,9
48.375,1,47.875,48.125,52,9
45.375,1,41.625,43.5,43,9
47.5,1,38.625,43.0625,41,9
47.75,-1,57.5,52.625,55,9
46.625,1,38.375,42.5,36,9
47.25,-1,41.375,44.3125,40,9
52.25,1,39.25,45.75,50,9
54.75,1,47.25,51,56,9
53.25,1,58.75,56,61,9
44.25,-1,48.25,46.25,58,9
53.375,1,42,47.6875,50,9
54.625,1,58,56.3125,60,9
51.125,1,54.625,52.875,50,9
47.25,-1,54,50.625,44,9
51.25,1,58.875,55.0625,61,9
45.5,-1,59.25,52.375,57,9
51.75,1,45.5,48.625,46,9
53.75,1,53.125,53.4375,56,9
46.375,-1,46.875,46.625,49,9
55.25,1,55.625,55.4375,66,9
47.5,1,51.375,49.4375,56,9
51.125,-1,57.625,54.375,59,9
53.625,1,46.625,50.125,58,9
55.375,1,47.125,51.25,60,9
47.25,-1,44.75,46,49,9
52.875,1,62.5,57.6875,60,9
45.5,-1,40.5,43,39,9
44.375,-1,37.625,41,36,9
54.125,1,53.5,53.8125,67,9
46.875,-1,61.5,54.1875,60,9
48.625,-1,38.125,43.375,42,9
48,-1,52.25,50.125,55,9
54.375,1,54.375,54.375,57,9
47.625,-1,59.375,53.5,55,9
51.75,-1,55,53.375,50,9
44.625,-1,46.125,45.375,46,9
46,1,60.625,53.3125,63,9
54.25,1,53.75,54,54,9
54.625,1,50.875,52.75,53,9
50.75,-1,48.25,49.5,50,9
47.25,-1,59.125,53.1875,44,9
45.25,-1,46.875,46.0625,44,9
45.5,-1,57.125,51.3125,60,9
51.25,1,58.125,54.6875,57,9
45.75,-1,50.375,48.0625,45,9
54,-1,39.5,46.75,45,9
54.125,1,51.25,52.6875,56,9
46.125,1,59.75,52.9375,62,9
52.125,1,55.25,53.6875,57,9
48.125,-1,57.125,52.625,57,9
55,1,41.25,48.125,54,9
48.375,-1,45,46.6875,48,9
44.375,-1,50.125,47.25,57,9
48.25,-1,44.625,46.4375,40,9
47.25,-1,59.875,53.5625,51,9
47.25,-1,46.375,46.8125,50,9
46.625,-1,45.25,45.9375,40,9
47.875,-1,47.625,47.75,50,9
46.625,-1,44.125,45.375,44,9
53.875,1,50.625,52.25,54,9
54,1,60.75,57.375,59,9
45.5,-1,58.25,51.875,50,9
53.875,1,59.625,56.75,54,9
51.75,1,48.25,50,58,9
48.25,1,60.5,54.375,62,9
50.375,1,48,49.1875,50,9
44.875,1,54,49.4375,59,9
52.125,1,54,53.0625,61,9
54.375,1,52,53.1875,52,9
48.125,-1,57.25,52.6875,49,9
55,1,61.125,58.0625,56,9
47.375,-1,61.875,54.625,56,9
46.625,-1,61.625,54.125,58,9
46.125,-1,46.25,46.1875,40,9
45.875,-1,46,45.9375,47,9
44.875,-1,60.875,52.875,63,9
54.375,1,52.5,53.4375,59,9
46.125,1,58.625,52.375,62,9
51.125,-1,45.625,48.375,49,9
44.25,1,45.875,45.0625,50,9
50.5,1,62.25,56.375,60,9
51.75,-1,60.5,56.125,56,9
55.25,1,55.375,55.3125,56,9
48.75,-1,44.375,46.5625,49,10
48.375,1,47.875,48.125,51,10
45.375,-1,41.625,43.5,41,10
47.5,-1,38.625,43.0625,48,10
47.75,1,57.5,52.625,52,10
46.625,-1,38.375,42.5,45,10
47.25,-1,41.375,44.3125,42,10
52.25,1,39.25,45.75,48,10
54.75,1,47.25,51,45,10
